#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2006.66910,,23.17000,,
2006.69630,,24.37000,,
2006.72350,,26.47000,,
2006.75070,,26.47000,,
2006.77770,,28.47000,,
2006.80490,,28.17000,,
2006.82440,,27.77000,,
2006.88940,,25.17000,,
2006.91350,,23.37000,,
2006.94030,,26.77000,,
2006.96790,,24.17000,,
2006.99490,,21.77000,,
2007.02200,,17.77000,,
2007.04920,,15.07000,,
2007.07650,,17.07000,,
2007.10350,,15.07000,,
2007.13030,,13.87000,,
2007.15780,,15.17000,,
2007.18490,,13.07000,,
2007.21210,,14.27000,,
2007.23920,,14.57000,,
2007.26600,,17.17000,,
2007.29350,,16.97000,,
2007.32070,,15.97000,,
2007.34790,,10.17000,,
2007.37500,,15.07000,,
2007.40220,,16.27000,,
2007.42920,,14.17000,,
2007.45640,,10.97000,,
2007.48360,,11.27000,,
2007.51070,,12.67000,,
2007.53780,,12.27000,,
2007.56500,,12.67000,,
2007.59210,,15.57000,,
2007.61930,,20.07000,,
2007.64660,,18.87000,,
2007.67360,,18.57000,,
2007.70070,,20.17000,,
2007.72790,,26.67000,,
2007.75500,,26.87000,,
2007.78220,,25.77000,,
2007.80930,,26.07000,,
2007.83650,,23.77000,,
2007.86370,,26.97000,,
2007.89080,,30.97000,,
2007.91800,,29.17000,,
2007.94510,,25.97000,,
2007.97230,,19.77000,,
2007.99950,,20.37000,,
2008.02660,,20.27000,,
2008.05370,,22.37000,,
2008.08080,,20.97000,,
2008.10800,,17.87000,,
2008.13510,,18.47000,,
2008.16230,,14.97000,,
2008.18940,,17.77000,,
2008.21660,,17.97000,,
2008.24370,,16.87000,,
2008.27090,,15.27000,,
2008.29810,,16.47000,,
2008.32530,,16.17000,,
2008.34560,,15.27000,,
2008.37950,,20.57000,,
2008.40660,,20.47000,,
2008.43380,,18.27000,,
2008.46090,,17.17000,,
2008.48810,,19.27000,,
2008.51520,,20.87000,,
2008.54230,,21.47000,,
2008.54250,,,19.79000,
2008.56950,,20.47000,20.09000,
2008.59220,,20.47000,,
2008.59680,,,19.59000,
2008.62380,,,23.39000,
2008.65070,,,23.59000,
2008.65090,,20.67000,,
2008.67810,,,24.89000,
2008.67820,,24.67000,,
2008.70520,,24.47000,25.19000,
2008.73240,,27.07000,27.89000,
2008.75950,,29.87000,29.09000,
2008.78670,,29.47000,30.09000,
2008.81380,,31.97000,30.89000,
2008.84100,,,29.09000,
